# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
4.089999999999999886e-02 7.487379700813769912e-01
8.179999999999999771e-02 2.994779045016279007e+00
1.227000000000000035e-01 6.737594903251788558e+00
1.635999999999999954e-01 1.211892761092790138e+01
2.046000000000000041e-01 1.871896177361660918e+01
2.454999999999999960e-01 2.716136105094303232e+01
2.863999999999999879e-01 3.716600383938416741e+01
3.272999999999999798e-01 4.844605052361440301e+01
3.682000000000000273e-01 6.153272891031738823e+01
4.091000000000000192e-01 7.617334257611695136e+01
4.500000000000000111e-01 9.275683038698429073e+01
4.909000000000000030e-01 1.105309958336290634e+02
5.318000000000000504e-01 1.298479560020460042e+02
5.727999999999999758e-01 1.512262911736700630e+02
6.137000000000000233e-01 1.741846089573806182e+02
6.545999999999999597e-01 1.993074281983300580e+02
6.955000000000000071e-01 2.260926264657765330e+02
7.364000000000000545e-01 2.545327252764489288e+02
7.772999999999999909e-01 2.852934703403049639e+02
8.182000000000000384e-01 3.177628103410064000e+02
8.590999999999999748e-01 3.519352196899337173e+02
9.000000000000000222e-01 3.901306546171377363e+02
9.409999999999999476e-01 4.294477388183408948e+02
9.818999999999999950e-01 4.705330502772634418e+02
1.022799999999999931e+00 5.151763787305188771e+02
1.063700000000000090e+00 5.608290557926967494e+02
1.104600000000000026e+00 6.102206212204837357e+02
1.145499999999999963e+00 6.615758693040277194e+02
1.186399999999999899e+00 7.158911246046232009e+02
1.227300000000000058e+00 7.732612088532110874e+02
1.268199999999999994e+00 8.348417902243061235e+02
1.309199999999999919e+00 8.997770574847215812e+02
1.350100000000000078e+00 9.668468760909677258e+02
1.391000000000000014e+00 1.037287550854676738e+03
1.431899999999999951e+00 1.112393640122503712e+03
1.472800000000000109e+00 1.189824769034742303e+03
1.513700000000000045e+00 1.274688913094747932e+03
1.554599999999999982e+00 1.362077758705328506e+03
1.595499999999999918e+00 1.456012511261150621e+03
1.636400000000000077e+00 1.553973717420158209e+03
1.677400000000000002e+00 1.658940544128922738e+03
1.718299999999999939e+00 1.766631741925690676e+03
1.759200000000000097e+00 1.882986516946287566e+03
1.800100000000000033e+00 2.006828852090737428e+03
1.840999999999999970e+00 2.135291888255215326e+03
1.881899999999999906e+00 2.273099353230476481e+03
